ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
194311k,Monique D. Davis,Monique D. Davis,House,99,136,31,105,17,3,14,10,2,8,33,8,25
387729k,Natalie A. Manley,Natalie A. Manley,House,99,180,26,154,16,0,16,7,0,7,20,3,17
477604k,Pamela Reaves-Harris,Pamela Reaves-Harris,House,99,124,13,111,16,2,14,7,0,7,19,1,18
194331k,Patricia R. Bellock,Patricia R. Bellock,House,99,228,43,185,42,9,33,7,0,7,37,10,27
287099k,Robyn Gabel,Robyn Gabel,House,99,198,47,151,52,10,42,16,3,13,30,8,22
194298k,Sara Feigenholtz,Sara Feigenholtz,House,99,166,59,107,40,17,23,6,1,5,21,4,17
560976k,Sara Wojcicki Jimenez,Sara Wojcicki Jimenez,House,99,40,6,34,0,0,0,1,0,1,3,0,3
386852k,Silvana Tabares,Silvana Tabares,House,99,196,18,178,20,0,20,10,0,10,35,4,31
559508k,Sonya M. Harper,Sonya M. Harper,House,99,116,9,107,14,3,11,5,0,5,18,0,18
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,99,205,29,176,19,1,18,15,0,15,30,4,26
387726k,Sue Scherer,Sue Scherer,House,99,169,16,153,12,0,12,7,0,7,34,3,31
477858k,Terri Bryant,Terri Bryant,House,99,119,32,87,11,1,10,4,2,2,11,1,10
194248k,Christine Radogno,Christine Radogno,Senate,99,591,574,17,20,19,1,64,63,1,32,30,2
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,99,298,39,259,35,2,33,22,3,19,55,6,49
387557k,Jennifer Bertino-Tarrant,Jennifer Bertino-Tarrant,Senate,99,81,29,52,8,1,7,3,2,1,21,9,12
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,99,216,62,154,22,3,19,17,5,12,64,29,35
555460k,Laura M. Murphy,Laura M. Murphy,Senate,99,92,9,83,8,0,8,6,0,6,6,0,6
250812k,Linda Holmes,Linda Holmes,Senate,99,140,45,95,14,3,11,8,2,6,10,3,7
214463k,Mattie Hunter,Mattie Hunter,Senate,99,237,43,194,39,8,31,25,7,18,43,9,34
387460k,Melinda Bush,Melinda Bush,Senate,99,210,82,128,17,5,12,10,0,10,21,10,11
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,99,304,132,172,23,5,18,24,13,11,27,13,14
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,99,172,19,153,21,1,20,7,0,7,23,3,20
289878k,Sue Rezin,Sue Rezin,Senate,99,107,43,64,4,1,3,3,1,2,15,5,10
527585k,Avery Bourne,Avery Bourne,House,100,148,44,104,9,3,6,7,0,7,18,4,14
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,100,180,64,116,13,2,11,14,3,11,16,4,12
387539k,Barbara Wheeler,Barbara Wheeler,House,100,165,49,116,7,1,6,7,3,4,20,7,13
477852k,Carol Ammons,Carol Ammons,House,100,314,45,269,24,2,22,32,8,24,58,6,52
477764k,Christine J. Winger,Christine Winger,House,100,116,30,86,9,1,8,3,0,3,11,2,9
208356k,Cynthia Soto,Cynthia Soto,House,100,203,34,169,33,11,22,16,0,16,40,6,34
212690k,Elaine Nekritz,Elaine Nekritz,House,100,90,32,58,9,5,4,9,7,2,9,1,8
250823k,Elizabeth Hernandez,Elizabeth Hernandez,House,100,261,40,221,30,6,24,26,5,21,54,13,41
387344k,Frances Ann Hurley,Frances Ann Hurley,House,100,205,18,187,21,3,18,15,2,13,22,2,20
387453k,Jeanne M. Ives,Jeanne M Ives,House,100,124,63,61,4,1,3,18,10,8,23,13,10
561259k,Juliana Stratton,Juliana Stratton,House,100,234,33,201,28,1,27,17,2,15,52,7,45
387571k,Kathleen Willis,Kathleen Willis,House,100,304,54,250,31,2,29,26,6,20,55,6,49
561037k,Katie Stuart,Katie Stuart,House,100,307,39,268,22,2,20,26,1,25,46,4,42
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,100,306,95,211,29,8,21,19,2,17,41,7,34
561038k,LaToya N. Greenwood,LaToya Greenwood,House,100,255,17,238,18,1,17,20,0,20,59,8,51
387347k,Laura Fine,Laura Fine,House,100,281,37,244,46,5,41,18,2,16,42,4,38
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,100,360,54,306,19,0,19,37,1,36,93,18,75
561021k,Lindsay A. Parkhurst,Lindsay Parkhurst,House,100,103,24,79,2,0,2,10,2,8,8,3,5
507765k,Litesa E. Wallace,Litesa E. Wallace,House,100,303,59,244,30,5,25,25,4,21,62,17,45
386896k,Mary E. Flowers,Mary E. Flowers,House,100,284,56,228,37,7,30,20,6,14,66,11,55
289863k,Michelle Mussman,Michelle Mussman,House,100,230,35,195,27,5,22,21,2,19,20,3,17
645589k,Monica Bristow,Monica Bristow,House,100,106,25,81,12,1,11,5,2,3,12,1,11
387729k,Natalie A. Manley,Natalie A. Manley,House,100,277,39,238,32,6,26,18,0,18,41,7,34
636323k,Natalie Phelps Finnie,Natalie Phelps Finnie,House,100,125,32,93,7,1,6,6,1,5,10,2,8
194331k,Patricia R. Bellock,Patricia R. Bellock,House,100,260,48,212,49,17,32,8,0,8,23,6,17
287099k,Robyn Gabel,Robyn Gabel,House,100,280,61,219,52,19,33,16,5,11,41,10,31
194298k,Sara Feigenholtz,Sara Feigenholtz,House,100,250,77,173,59,27,32,11,1,10,34,5,29
560976k,Sara Wojcicki Jimenez,Sara Wojcicki Jimenez,House,100,106,33,73,6,2,4,5,1,4,8,2,6
386852k,Silvana Tabares,Silvana Tabares,House,100,266,12,254,21,2,19,28,1,27,40,2,38
559508k,Sonya M. Harper,Sonya M. Harper,House,100,298,59,239,20,3,17,23,5,18,63,17,46
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,100,283,43,240,29,3,26,28,0,28,29,4,25
387726k,Sue Scherer,Sue Scherer,House,100,185,33,152,13,3,10,12,1,11,34,7,27
477858k,Terri Bryant,Terri Bryant,House,100,161,29,132,11,4,7,8,1,7,15,0,15
560990k,Theresa Mah,Theresa Mah,House,100,251,27,224,18,1,17,26,1,25,49,0,49
194248k,Christine Radogno,Christine Radogno,Senate,100,8,0,8,0,0,0,1,0,1,2,0,2
560946k,Cristina Castro,Cristina Castro,Senate,100,320,47,273,36,4,32,21,6,15,50,8,42
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,100,261,39,222,19,2,17,18,2,16,38,10,28
387557k,Jennifer Bertino-Tarrant,Jennifer Bertino-Tarrant,Senate,100,139,32,107,10,2,8,12,2,10,31,16,15
247264k,Jil W. Tracy,Jil Tracy,Senate,100,132,74,58,4,1,3,9,5,4,13,5,8
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,100,269,66,203,32,4,28,27,5,22,87,43,44
555460k,Laura M. Murphy,Laura M. Murphy,Senate,100,304,64,240,38,5,33,22,2,20,29,5,24
250812k,Linda Holmes,Linda Holmes,Senate,100,212,64,148,16,2,14,16,6,10,27,7,20
214463k,Mattie Hunter,Mattie Hunter,Senate,100,287,50,237,28,5,23,24,3,21,49,17,32
387460k,Melinda Bush,Melinda Bush,Senate,100,257,87,170,23,6,17,17,3,14,35,8,27
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,100,216,65,151,16,7,9,14,3,11,14,0,14
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,100,287,19,268,33,2,31,22,4,18,47,3,44
289878k,Sue Rezin,Sue Rezin,Senate,100,107,35,72,4,1,3,1,0,1,21,7,14
646557k,Amy L. Grant,Amy Grant,House,101,163,22,141,10,1,9,8,0,8,20,3,17
646616k,Anne M. Stava-Murray,Anne Stava-Murray,House,101,285,80,205,35,4,31,22,7,15,40,8,32
527585k,Avery Bourne,Avery Bourne,House,101,107,24,83,4,1,3,7,1,6,22,3,19
699437k,Barbara Hernandez,Barbara Hernandez,House,101,186,18,168,15,0,15,11,2,9,36,4,32
